k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,n_clust,cluster_size
5,0.5437461630076301,0.49432185900308745,0.5025757258059207,0.44885104141933774,0.5680295098692756,1.100395473641007,1.7680612423436246,1.785630430661363,1.3920319899675084,1.269510215504688,1.137419552967703,1.1139380309153808,1.2740355884624364,1.4241873089882913,1.6089251445241008,1.724345096585811,2.0674987147187878,2.4241023466557996,2.920996079111965,3.114436453404374,2.7466515959257465,1.9031358954601487,1.112190058489409,0.7262781111711172,15,13381
6,5.277564097530185,4.140384612987058,3.457051262450523,2.398717946253526,4.159615364403296,4.5724359185267724,6.75961538308706,10.216666659483543,14.056410266802864,17.599358998812164,15.113461575829065,14.824999986550747,12.53653853558577,8.753205153804558,5.324999993380446,5.804487177911095,6.633974333222097,5.975641060716066,8.62628207451258,9.088461541212522,8.096794903278353,7.4391025849259815,4.486538437314523,4.494230753336198,15,475
7,1.5407570129484582,1.2333340607122298,1.1179986536715711,1.204038617053912,2.1256126246743263,5.089591805363694,6.144875252853547,5.024715832053197,2.9850247394896696,2.8199996985211264,3.4261782655758513,3.2440578648873735,3.4879404639559133,3.1266886110284497,5.251134160838666,9.29476999869304,8.19953872419539,4.490316360940535,4.854604559657829,6.533844710588455,6.687292642941077,3.8362390298183477,2.592225978637025,1.6486642874280613,15,1586
8,1.0054509820087638,1.0035867835367207,0.8821049741398669,0.884850975597898,0.9497192898940766,1.3351754142746501,2.176589807855158,2.6436834042506483,2.7400117660699217,3.1158671652307284,2.863723873619376,3.136676158085037,2.535735280425127,2.371847625889055,1.965121538482778,2.0910758856294316,2.0201771085388187,2.1788575436474606,2.1392342306810552,2.4556974972125096,2.6733028728900283,2.3633231105578356,2.0246174198132136,1.4701166517689996,15,6208
9,6.021251051714926,5.671345225757077,7.132702397359979,6.287083348702816,4.0443214030847665,3.8706070945731232,6.665071439884959,9.2280714625404,7.1009881219693565,6.252452393018065,5.804261881858111,6.522797588791166,7.236738077586608,9.85460711802755,7.740190523011345,7.295452418071882,5.2080595172232105,6.076107161385672,8.856583385240462,9.307750036319097,11.617166661790433,12.30689286334174,13.295297642548876,8.034059537308556,15,477
10,0.10434782803058625,0.10434782803058625,0.10434782803058625,0.10434782803058625,0.10434782803058625,0.5043478235602379,1.3913043439388275,2.5739130854606627,1.8608695581555366,7.930434703826904,1.6173913210630417,0.13913043737411498,0.9391304284334183,1.2173912942409515,1.91304342597723,1.5826086834073068,4.817391324043274,2.0173912972211836,1.7565217301249505,1.5652173578739166,0.799999988079071,0.17391304522752762,0.12173913270235062,0.08695652335882187,15,264
11,2.10077800945365,1.9454954524007106,1.5228132033631911,1.5878456937099892,1.4476728168192996,2.5875046633716137,5.137564302005228,5.820766276574483,4.032832064982207,3.7968598421209707,3.621394804271835,4.158487681088546,4.240590403912954,4.327525241702559,3.6689431781254744,4.5112287271767855,7.065583623929944,9.049041245603767,9.546639885796756,8.499910934111744,8.717185708044697,8.805361641809426,6.6672320562321215,3.897115139456258,15,2771
12,1.2762855660311427,0.9101929371519124,1.028309518896847,1.0859811398255474,1.1767456354482067,1.8530757123038317,2.778298956411435,3.310729479650949,3.0885776843693034,3.0155831662244066,2.358540247001232,2.773535211198032,4.042212103714473,4.6172412606120545,4.7993966903902745,4.824965636444953,6.743216709020164,5.59642506451072,4.608986944301675,4.233358201475851,4.2481726757232465,3.2379837977553847,2.3994871572609626,1.4261045886367998,15,3616
13,8.425000017094943,4.811111122369767,4.018055584902566,2.4277777355164285,2.015277737958564,7.593055506547292,6.897222183230849,10.352777711219256,5.702777686632341,4.8888888483246165,7.416666612029073,6.262500011258655,7.241666522290973,10.058333211474947,11.69861105663909,8.840277776949936,15.497222143742773,20.356944223244984,23.720833407508,23.66111095746359,20.802777700954014,20.038888845178814,16.34999989138709,14.068055522110727,15,232
14,1.9104806412578514,1.55702100603856,1.6075758728952638,1.4203054266700903,1.6748793559208035,2.020503930012799,3.142713334723302,4.475848468764137,5.8295952866208705,6.994659938018709,7.871084968569794,7.6499937078398155,6.589616275203252,5.7117125544563985,5.076083551875006,3.748432404981069,3.4975898443706446,3.968752673723632,5.1153440713557226,5.668160797807848,4.951122583834721,4.063365769166025,2.812653988828912,2.295564310499541,15,3776
0,1.8861415039458036,1.6358384949343296,1.686654837316636,1.6814786729374622,2.1301827513960876,3.4777899322118793,4.650901878307189,5.0471107730171605,5.145631666170115,4.7688466729041235,5.053961788247706,6.664473289883499,8.513404424325799,7.980272722146427,7.367762189756403,6.051162304594702,4.69731022362795,4.694889302068209,4.723356114298745,5.3888414245117655,5.276868544347736,4.488973377121972,2.8766621925425944,1.8614287157053828,20,1797
1,0.5882800595773647,0.5614801470421152,0.5254893737231415,0.5080231260168142,0.6188725782561739,0.9919182359125857,1.2587944056703055,1.2787743463680505,1.2138501635883427,1.1374889218832769,1.0593385373832251,1.1021103253153666,1.0500520654947536,1.025156890407484,1.0030818681676947,0.9850305141048484,1.1657901089081115,1.3732677343875572,1.8963589279986524,2.3038820182247512,2.280533753027289,1.736076699800582,1.0828318865089337,0.7416829851355692,20,9925
2,7.034848489770383,4.794191921524929,4.739898994659083,4.329040394230473,4.0568181609151654,6.572222194888376,9.565151475859107,12.560606034717173,7.134090880628185,7.93661619120776,11.346212115289285,10.322979823356926,13.180302998333271,14.651262619579683,14.966414104657943,12.689898993518918,12.000505065413734,9.388383833446886,12.40606058125544,16.741919192099818,17.856565684682188,15.3535353691891,11.419191887207104,9.124747484621375,20,326
3,2.1636960424651717,1.7935769700376514,1.4481297726138629,1.4237455483478596,1.3769268461766133,2.0741653992360773,3.5323066165618617,5.289175567323814,4.548229638539235,5.847364492984559,6.544496802722148,5.181332050573849,5.429286894784252,5.1814306539082855,4.339085240381519,3.470907749034673,3.6630706076744852,5.5603225053342555,10.369261433548145,11.489658373192368,9.411404575593295,6.384050890836514,4.574456741730027,3.212319330722282,20,1471
